cámara                    Y antes→VR   quem.% antes→VR  p2 antes→VR     cielo Y   fg/bg contraste antes      → VR
QC_GROUND               155.1→131.3      1.22→0.01        45→54     223.6→206.6                     1.05      0.47
QC_MID                  138.6→126.4      7.38→0           35→19     240.7→207.3                     1.16      1.07
QC_HIGH                 122.6→106        7.53→0           35→18     226.9→230.6                     1.46      4.15
QC_WATER                105.5→108.7      1.98→0           24→16       242→206.8                     1.17      1.14
QC_TREE_CLOSE           137.6→133.2      1.11→0.01        34→31     235.8→195.8                     1.37      1.13
QC_BUSH_CLOSE           111.5→80.8          0→0.08        35→17     182.4→229.2                     1.08      0.49
QC_HERO_WATER_EDGE      104.4→94.2       0.56→0           24→26     229.9→216.8                     1.26      0.85
QC_WORST_CASE           116.8→109.9       1.6→0           33→19     230.9→207.8                     1.15      0.88
QC_LIGHTING_COMPARISON  152.9→128.9      0.21→0.02        50→22     216.7→213.1                     1.19      0.50
QC_ATMOS_DEPTH          140.7→127.7      2.08→0           35→20     224.2→206.8                     1.33      1.07
QC_SKY_HORIZON          162.8→139.7      1.71→0.01        45→55     225.7→204.2                     0.99      0.47
